brand,title,product_type,tags,handle,product_url,price_min_inr,price_max_inr,option_names,variants,num_images,image_urls,created_at,updated_at
Philips,Philips SunStead Cosmic Modular Wall Light,outdoor lights,"bestselling_wall_lights, Brand_Philips, Categories_Decorative wall lights, Categories_Functional wall lights, Categories_Wall Lights, categories_walllights, main_wall Lights, Origin_India, outdoor_wall_lights_suggested, pedestal light, product_Wall light",philips-sunstead-bask-pedestal-light-copy,https://in.shop.lighting.philips.com/products/philips-sunstead-bask-pedestal-light-copy,1939.0,1939.0,Title,Default Title :: SKU=915006349546 :: ₹1939.00,10,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/915006349546.png?v=1784714500 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard2_d808c47b-f917-4669-acd1-4b383a20b9cf.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard3_ed1ce287-97d7-4705-8b8c-bd378740b5a5.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard4_3da3ae71-ee54-4e4b-8f8a-043db44f1e9e.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard5_d2160283-e960-4bdc-a394-9aa3cc4eb19d.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard6_10bf5ce2-8f28-42aa-a2ae-274db0e9cedd.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard7_d64c606c-b28e-4561-a611-39b3e7124f41.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard8_f68339aa-3eaa-470f-9cc2-2e3b969466df.png?v=1784714460 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard9_54b716f6-c714-401d-bbfa-6c3c8b130485.png?v=1784714459 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard10_304fd9bd-58c4-4e45-86d6-4416acbd877e.png?v=1784714460,2026-06-29T12:52:50+05:30,2026-09-08T08:56:55+05:30
Philips,Philips SunStead Bask Pedestal Light,outdoor lights,"bestselling_wall_lights, Brand_Philips, Origin_India, pedestal light",philips-sunstead-bask-gate-light-copy,https://in.shop.lighting.philips.com/products/philips-sunstead-bask-gate-light-copy,6229.0,6229.0,Title,Default Title :: SKU=915006349545 :: ₹6229.00,8,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/915006349545.png?v=1784703692 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard2_74060a78-cc3e-4e07-a952-3ac858e38c30.png?v=1784097794 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard3_c66d49aa-ea2e-4ab8-b9d5-3a626bd769d0.png?v=1784097794 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard4_c641f67d-a937-44a5-96fb-1c319f463ce9.png?v=1784097794 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard5_1fd1e82b-1a9c-4716-9d82-7cb48a4b447f.png?v=1784097794 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard6_0c91744e-cbc2-4c71-af8e-d4454f65a715.png?v=1784097793 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard7_35744fe3-fe55-49b0-b698-0b6144f2eea4.png?v=1784097793 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Artboard8_f355839c-ac4c-4624-9ae4-d310fac1f0c5.png?v=1784097793,2026-06-29T12:44:29+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Sterling Pedestal light,outdoor lights,"Brand_Philips, Categories_Bollard, Origin_India, price_OVER INR 5000, Product_outdoor lights, room_Outdoor",philips-sterling-pedestal-light,https://in.shop.lighting.philips.com/products/philips-sterling-pedestal-light,8048.0,8048.0,"Wattage, Color",12W/Warm White :: SKU=919215851273 :: ₹8048.00,2,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/sterling-2_41ef7820-6701-4e45-9d6d-96746062f8bd.png?v=1769836912 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_f37ac9d8-ff7b-43bc-9084-9609f405683b.png?v=1769836912,2026-01-29T13:40:19+05:30,2026-09-08T08:56:55+05:30
Philips,Philips Vibe Pedestal light (Round shaped),outdoor lights,"Brand_Philips, Categories_Bollard, Origin_India, outdoor_lights_suggested, price_OVER INR 5000, Product_outdoor lights, room_Outdoor",philips-vibe-pedestal-light-round-shaped,https://in.shop.lighting.philips.com/products/philips-vibe-pedestal-light-round-shaped,9833.0,9833.0,"Wattage, Color",12W/Warm White :: SKU=919215851224 :: ₹9833.00,4,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Vibe-Round-2_6a410100-593d-4bf7-84ce-196a7dd31a57.png?v=1747311467 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Vibe-Cone-2_0b5f99fc-d056-4b92-9ed8-580330349352.png?v=1769832118 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Vibe-cone-1_a06b847b-c445-4a40-864c-ce4d022304fb.png?v=1769832118 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_1e09a337-b36e-42d9-bdd4-5b35d1482c70.png?v=1769832124,2024-12-11T17:24:22+05:30,2026-09-08T08:56:55+05:30
Philips,Philips VYNCE Rd Solar Pedestal Light,outdoor lights,"Categories_Solar lights, Origin_China, outdoor_lights_suggested, outdoor_solar_lights_suggested, outdoor_wall_lights_suggested, Product_outdoor lights, Product_Solar lights",philips-vynce-rd-solar-pedestal-light,https://in.shop.lighting.philips.com/products/philips-vynce-rd-solar-pedestal-light,2269.0,2269.0,Body color,Black :: SKU=929004066201 :: ₹2269.00,8,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/1bf4aed1-1049-4b94-87d4-5a432a25a63b.jpg?v=1769410401 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/1609796f-0ac5-41c7-8b98-4bf6bfd716d4.jpg?v=1769831911 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/6974039a-ad35-42a5-9d8f-4e395753f3fc.jpg?v=1769831911 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/32949439-d299-432e-921b-249e53c782f8.jpg?v=1769831911 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/311fe8df-5604-4edc-b4da-f4e63da0f4d0.jpg?v=1769831911 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/6d0ae685-9fb4-416e-980c-5aa333436408.jpg?v=1769831911 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/e27ceb48-9de0-4e72-8731-15f248ed1ccd.jpg?v=1769831911 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_4c0ab2fa-c9df-46f7-bfae-7ac62b7ab0be.png?v=1769831911,2025-08-28T14:50:36+05:30,2026-09-08T08:56:55+05:30
Philips,Philips VAPORA Solar Pedestal Light,outdoor lights,"Categories_Solar lights, Origin_China, outdoor_lights_suggested, outdoor_solar_lights_suggested, outdoor_wall_lights_suggested, Price_INR 2001- 3000, Product_outdoor lights, Product_Solar lights",philips-vapora-solar-pedestal-light,https://in.shop.lighting.philips.com/products/philips-vapora-solar-pedestal-light,2249.0,2249.0,Body color,Black :: SKU=929004066601 :: ₹2249.00,6,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/7cb933a0-72bd-4e2a-aac6-917ac62bac4f.jpg?v=1769410398 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/cb05f107-96b2-4562-aaa3-cd96eae45722.jpg?v=1769410398 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/Philips_VAPORA_Solar_Pedestal_Light.png?v=1769410398 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/df9e27af-27fb-45e1-8348-84b217683d4f.jpg?v=1769410398 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/a9c4774b-0610-42c0-b24a-2f33c9cf102d.jpg?v=1769410398 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_7b760e90-17b2-44aa-9d64-d255b27bacc7.png?v=1769831589,2025-08-28T14:57:55+05:30,2026-09-08T08:56:55+05:30
Philips,Philips FYVE Solar Pedestal Light,outdoor lights,"Categories_Solar lights, Origin_China, outdoor_lights_suggested, outdoor_solar_lights_suggested, outdoor_wall_lights_suggested, Price_INR 3001- 4000, Product_outdoor lights, Product_Solar lights, room_Outdoor",philips-fyve-solar-pedestal-light,https://in.shop.lighting.philips.com/products/philips-fyve-solar-pedestal-light,2749.0,2749.0,Body Color,Black :: SKU=929004066001 :: ₹2749.00,4,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/a12f707f-31ac-4dce-b2f7-25f9b672cf71.jpg?v=1769831473 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/c98a249c-b883-4d56-ae27-232cfbbd655b.jpg?v=1769831473 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/445e6dff-25da-4308-9712-78abf75a85f0.jpg?v=1769831473 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_41e49b69-edaf-4167-8539-6f5d5aa5cbcd.png?v=1769831486,2025-09-10T15:41:14+05:30,2026-09-08T08:56:55+05:30
Philips,Philips StarFit Next Gen4 LED Downlight,Ceiling light,"Categories_Ceiling Fans, Categories_Downlights, downlights, main_ceiling Lights, Origin_India, Price_Less than INR 1000, Product_Ceiling light",philips-starfit-next-gen4-led-downlight,https://in.shop.lighting.philips.com/products/philips-starfit-next-gen4-led-downlight,254.0,254.0,Title,Default Title :: SKU=929003473802 :: ₹254.00,7,https://cdn.shopify.com/s/files/1/0563/0532/0126/files/61h9cudFbKL._SL1500.jpg?v=1769758236 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/71HI_uTZQYL._SL1500.jpg?v=1769758236 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/21uq-UGpQcL.jpg?v=1769758236 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/71HC7eFRYaL._SL1500.jpg?v=1769758236 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/71jNWGM4KoL._SL1500.jpg?v=1769758220 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/71kSXab5HfL._SL1500.jpg?v=1769758220 | https://cdn.shopify.com/s/files/1/0563/0532/0126/files/ExtendedwarrantywithSignifyDigiShield_0c8453f7-c2c1-4be0-852e-925f55d07f6b.png?v=1769758220,2025-07-31T15:34:40+05:30,2026-09-08T08:56:57+05:30
