"x-el","x-el 2","x-el 3","x-el src","x-el 4","x-el 5","x-el 6","x-el 7","x-el 14","x-el 16"
"ALTROZ LED WAL LIGHT","COMPASS LED WALL LIGHT","COMPASS LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-311d85c.png/:/cr=t:20.24%25,l:0%25,w:100%25,h:70.56%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","4W          75x85x40              20","","CCT & Colors: 3000K/ RGB","Premium LED Solar Wall Light",""
"ALTROZ LED WAL LIGHT","COMPASS LED WALL LIGHT","ALTROZ LED WAL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/SOLAR%20LED%20WALL%20LIGHT%203WAY%20LIGHT.32.png/:/cr=t:11.05%25,l:25.1%25,w:70.42%25,h:63.48%25/rs=w:388,h:194,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","6W          75x85x40              20","CCT & Colors: 3000K/ RGB","","Premium LED Solar Wall Light",""
"BREEZA LED WALL LIGHT","BREEZA LED WALL LIGHT","BREEZA LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-f48a9fa.png/:/cr=t:20.2%25,l:11.54%25,w:76.92%25,h:59.6%25/rs=w:388,h:194,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","6W         170x150x45         20","CCT & Colors: 3000K","Blue, Green, Red,","Premium LED Wall Light",""
"LINK LED WALL LIGHT","BREEZA LED WALL LIGHT","BREEZA LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-aa83f7d.png/:/cr=t:28.95%25,l:0%25,w:100%25,h:47.77%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","4W                58x58              50","CCT & Colors: 3000K","","Premium LED Wall Light",""
"LED WALL LIGHT","BREEZA LED WALL LIGHT","LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-3e0b3a3.png/:/cr=t:30.11%25,l:4.21%25,w:80.65%25,h:40.12%25/rs=w:388,h:194,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","4W             58x58               5O","CCT & Colors: 3000K","","Premium LED Wall Light",""
"LED WALL LIGHT","FIESTA LED WALL LIGHT","LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-d103445.png/:/cr=t:0%25,l:0%25,w:100%25,h:94.81%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","6W          125X85X41          20","CCT & Colors: 3000K","","Premium LED Wall Light",""
"FIESTA LED WALL LIGHT","FIESTA LED WALL LIGHT","FIESTA LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-afb88a8.png/:/cr=t:24.2%25,l:26.9%25,w:62.5%25,h:49.88%25/rs=w:388,h:194,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","5W         75x85x40              20","CCT & Colors: 3000K","","Premium LED Wall Light",""
"ATMOS LED WALL LIGHT","FIESTA LED WALL LIGHT","FIESTA LED WALL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-be95887.png/:/cr=t:3.66%25,l:0%25,w:100%25,h:92.69%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","5W         58x119x83              50","","CCT & Colors: 3000K","Premium LED Wall Light","10W       165x75x90              20"
"INOIQ LED WAL LIGHT","S-PRESSO LED WAL LIGHT","S-PRESSO LED WAL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/IONIQ.png/:/cr=t:17.86%25,l:16.2%25,w:80.65%25,h:67.41%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","12W                    -                20","","CCT & Colors: 3000K","Premium LED Wall Light",""
"S-PRESSO LED WAL LIGHT","S-PRESSO LED WAL LIGHT","S-PRESSO LED WAL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-84bcc89.png/:/cr=t:21.35%25,l:21.74%25,w:76.92%25,h:64.29%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","12W                    -                20","","CCT & Colors: 3000K","Premium LED Wall Light",""
