category,sku,name,price_text,product_url,image_url
Pedestal Fan,,Aery HS Pedestal Fan 400mm Sweep 3 Blades Turquoise Blue (With Copper Motor),Rs. 4999,https://polycab.com/aery-hs-pedestal-fan-400mm-sweep-3-blades-turquoise-blue-with-copper-motor/c-4984/p-53769,https://cms.polycab.com/media/5rea4rjg/fpehsst023p_img_01.png?format=webp
Pedestal Fan,,Aery HS Pedestal Fan 400mm Sweep 3 Blades Sky Blue (With Copper Motor),Rs. 4999,https://polycab.com/aery-hs-pedestal-fan-400mm-sweep-3-blades-sky-blue-with-copper-motor/c-4984/p-53770,https://cms.polycab.com/media/1hvnlune/fpehsst024p_img_01.png?format=webp
Pedestal Fan,,Aery HS Pedestal Fan 400mm Sweep 3 Blades Blue (With Copper Motor),Rs. 4999,https://polycab.com/aery-hs-pedestal-fan-400mm-sweep-3-blades-blue-with-copper-motor/c-4984/p-53771,https://cms.polycab.com/media/o3xgozik/fpehsst015p_img_01.png?format=webp
Pedestal Fan,,Aery HS Pedestal Fan 400mm Sweep 3 Blades White (With Copper Motor),Rs. 4999,https://polycab.com/aery-hs-pedestal-fan-400mm-sweep-3-blades-white-with-copper-motor/c-4984/p-53772,https://cms.polycab.com/media/yusnkhbw/fpehsst025p_img_01.png?format=webp
Pedestal Fan,,Aery HS Pedestal Fan 400mm Sweep 3 Blades Black (With Copper Motor),Rs. 4999,https://polycab.com/aery-hs-pedestal-fan-400mm-sweep-3-blades-black-with-copper-motor/c-4984/p-53775,https://cms.polycab.com/media/3skhw4bl/fpehsst026p_img_01.png?format=webp
Pedestal Fan,,Aery Pedestal Fan 400mm Sweep 3 Blades Sky Blue (With Copper Motor),Rs. 4499,https://polycab.com/aery-pedestal-fan-400mm-sweep-3-blades-sky-blue-with-copper-motor/c-4984/p-53765,https://cms.polycab.com/media/2zdbd52o/fpensst037p_img_01.png?format=webp
Pedestal Fan,,Aery Pedestal Fan 400mm Sweep 3 Blades White (With Copper Motor),Rs. 4499,https://polycab.com/aery-pedestal-fan-400mm-sweep-3-blades-white-with-copper-motor/c-4984/p-53766,https://cms.polycab.com/media/xp4kcder/fpensst038p_img_01.png?format=webp
Pedestal Fan,,Aery Pedestal Fan 400mm Sweep 3 Blades Turquoise Blue (With Copper Motor),Rs. 4499,https://polycab.com/aery-pedestal-fan-400mm-sweep-3-blades-turquoise-blue-with-copper-motor/c-4984/p-53767,https://cms.polycab.com/media/jxeddj2b/fpensst036p_img_01.png?format=webp
Pedestal Fan,,Aery Pedestal Fan 400mm Sweep 3 Blades Black (With Copper Motor),Rs. 4499,https://polycab.com/aery-pedestal-fan-400mm-sweep-3-blades-black-with-copper-motor/c-4984/p-53773,https://cms.polycab.com/media/f3biolqr/fpensst039p_img_01.png?format=webp
Pedestal Fan,,Aery Pedestal Fan 400mm Sweep 3 Blades Blue (With Copper Motor),Rs. 4499,https://polycab.com/aery-pedestal-fan-400mm-sweep-3-blades-blue-with-copper-motor/c-4984/p-53774,https://cms.polycab.com/media/3qcpwwer/fpensst028p_img_01.png?format=webp
Pedestal Fan,,Elanza Pedestal Fan 400mm Sweep 5 Blades White Grey (With Copper Motor),Rs. 4299,https://polycab.com/elanza-pedestal-fan-400mm-sweep-5-blades-white-grey-with-copper-motor/c-4984/p-53763,https://cms.polycab.com/media/klyntnu2/fpensst035p_img_01.png?format=webp
Exhaust Fan,SUPERB,Heavy Duty Exhaust 450mm Sweep Silver Grey Exhaust Fan,Rs. 9499,https://polycab.com/superb-heavy-duty-exhaust-450mm-sweep-silver-grey-exhaust-fan/c-4982/p-53801,https://cms.polycab.com/media/zenfwnfy/fexinhd009p_img_01.png?format=webp
Exhaust Fan,SUPERB,Heavy Duty Exhaust 380mm Sweep Silver Grey Exhaust Fan,Rs. 6999,https://polycab.com/superb-heavy-duty-exhaust-380mm-sweep-silver-grey-exhaust-fan/c-4982/p-53802,https://cms.polycab.com/media/pwtfx0kz/fexinhd008p_img_01.png?format=webp
Exhaust Fan,SUPERB,Heavy Duty Exhaust 300mm Sweep Silver Grey Exhaust Fan,Rs. 4799,https://polycab.com/superb-heavy-duty-exhaust-300mm-sweep-silver-grey-exhaust-fan/c-4982/p-53803,https://cms.polycab.com/media/ufphwbwb/fexinhd010p_img_01.png?format=webp
Exhaust Fan,,Freshner ES Metal 225mm Sweep Gold Black Exhaust Fan,Rs. 2799,https://polycab.com/freshner-es-metal-225mm-sweep-gold-black-exhaust-fan/c-4982/p-53806,https://cms.polycab.com/media/airnspj5/fexdove008p_img_01.png?format=webp
Exhaust Fan,FRESHLY,PRIME BLDC 150mm Sweep Classic White Exhaust Fan,Rs. 2799,https://polycab.com/freshly-prime-bldc-150mm-sweep-classic-white-exhaust-fan/c-4982/p-60749,https://cms.polycab.com/media/wpudxvnh/fexdove049p_img_01.png?format=webp
Exhaust Fan,FRESHLY,PRIME PREMIUM 150mm Sweep Classic White Exhaust Fan,Rs. 2399,https://polycab.com/freshly-prime-premium-150mm-sweep-classic-white-exhaust-fan/c-4982/p-60751,https://cms.polycab.com/media/a20lrx3h/fexdove047p_img_01.png?format=webp
Exhaust Fan,,Freshner ES Metal 300mm Sweep Gold Black Exhaust Fan,Rs. 2299,https://polycab.com/freshner-es-metal-300mm-sweep-gold-black-exhaust-fan/c-4982/p-53805,https://cms.polycab.com/media/z0vfaw2m/fexdove009p_img_01.png?format=webp
Exhaust Fan,FRESHLY,PRIME 150mm Sweep Wood Exhaust Fan,Rs. 2199,https://polycab.com/freshly-prime-150mm-sweep-wood-exhaust-fan/c-4982/p-53793,https://cms.polycab.com/media/cbjjeco0/fexdove036p_img_01.png?format=webp
Exhaust Fan,FRESHLY,PRIME 150mm Sweep White Exhaust Fan,Rs. 2199,https://polycab.com/freshly-prime-150mm-sweep-white-exhaust-fan/c-4982/p-53823,https://cms.polycab.com/media/mp4l5ah3/fexdove035p_img_01.png?format=webp
Exhaust Fan,FRESHLY,PRIME 150mm Sweep Steel Exhaust Fan,Rs. 2199,https://polycab.com/freshly-prime-150mm-sweep-steel-exhaust-fan/c-4982/p-53824,https://cms.polycab.com/media/mswes2yv/fexdove037p_img_01.png?format=webp
Exhaust Fan,,Freshner ES Metal 150mm Sweep Gold Black Exhaust Fan,Rs. 2199,https://polycab.com/freshner-es-metal-150mm-sweep-gold-black-exhaust-fan/c-4982/p-53809,https://cms.polycab.com/media/owaek4xe/fexdove012p_img_01.png?format=webp
