category,sku,name,price_text,product_url,image_url
LED Bulb,,"Aelius Nxt-G LED T-Lamp 60 Wattage 6500K, Cool White",Rs. 1400,https://polycab.com/aelius-nxt-g-led-t-lamp-60-wattage-6500k-cool-white/c-4989/p-54200,https://cms.polycab.com/media/gknbvizn/llp0101543_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 50 Wattage 6500K, Cool White",Rs. 1200,https://polycab.com/aelius-nxt-g-led-t-lamp-50-wattage-6500k-cool-white/c-4989/p-54191,https://cms.polycab.com/media/dc2l31wr/llp0101522_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 50 Wattage 3000K, Warm White",Rs. 1200,https://polycab.com/aelius-nxt-g-led-t-lamp-50-wattage-3000k-warm-white/c-4989/p-54192,https://cms.polycab.com/media/z14fcz4a/llp0101526_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 40 Wattage 6500K, Cool White",Rs. 1000,https://polycab.com/aelius-nxt-g-led-t-lamp-40-wattage-6500k-cool-white/c-4989/p-54190,https://cms.polycab.com/media/le4jl52o/llp0101521_img_01.png?format=webp
LED Bulb,,"Aelius Dimmable Emergency LED Bulb 12 Wattage 6500K, Cool White",Rs. 950,https://polycab.com/aelius-dimmable-emergency-led-bulb-12-wattage-6500k-cool-white/c-4989/p-54203,https://cms.polycab.com/media/vcynuf4y/llp0104013_img_01.png?format=webp
LED Bulb,,"Aelius Dimmable Emergency LED Bulb 9 Wattage 6500K, Cool White",Rs. 850,https://polycab.com/aelius-dimmable-emergency-led-bulb-9-wattage-6500k-cool-white/c-4989/p-54202,https://cms.polycab.com/media/vwvprqcg/llp0104012_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 30 Wattage 6500K, Cool White",Rs. 800,https://polycab.com/aelius-nxt-g-led-t-lamp-30-wattage-6500k-cool-white/c-4989/p-54189,https://cms.polycab.com/media/5mgpj3et/llp0101520_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 23 Wattage 6500K, Cool White",Rs. 600,https://polycab.com/aelius-nxt-g-led-t-lamp-23-wattage-6500k-cool-white/c-4989/p-54194,https://cms.polycab.com/media/bmpl3vsn/llp0101541_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 23 Wattage 3000K, Warm White",Rs. 600,https://polycab.com/aelius-nxt-g-led-t-lamp-23-wattage-3000k-warm-white/c-4989/p-54198,https://cms.polycab.com/media/zu5ncob0/llp0101550_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 20 Wattage 6500K, Cool White",Rs. 500,https://polycab.com/aelius-nxt-g-led-t-lamp-20-wattage-6500k-cool-white/c-4989/p-54199,https://cms.polycab.com/media/myxnmhkg/llp0101519_img_01.png?format=webp
LED Bulb,,"NXT-G LED BULB 23 Wattage 6500K, Cool White",Rs. 500,https://polycab.com/nxt-g-led-bulb-23-wattage-6500k-cool-white/c-4989/p-54218,https://cms.polycab.com/media/ru4bwvql/lp0005023b22cw_img_01.png?format=webp
LED Bulb,,"Aelius Nxt-G LED T-Lamp 18 Wattage 6500K, Cool White",Rs. 425,https://polycab.com/aelius-nxt-g-led-t-lamp-18-wattage-6500k-cool-white/c-4989/p-54195,https://cms.polycab.com/media/015mi0oo/llp0101529_img_01.png?format=webp
Downlight,,"Pearl COB Swivel LED Downlight 36 Wattage Round 6500K, Cool White",Rs. 4800,https://polycab.com/pearl-cob-swivel-led-downlight-36-wattage-round-6500k-cool-white/c-4990/p-54089,https://cms.polycab.com/media/q3mlxn2o/ldo0105122_img_01.png?format=webp
