category,name,price_text,product_url,image_url
Ceiling Fans,Inveno LX BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/inveno-lx-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcil5ssab48_2__1_1.jpg
Ceiling Fans,Crista Under Light Ceiling Fan,,https://havells.com/fans/ceiling-fans/crista-under-light-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhccg5splc48.jpg
Ceiling Fans,Elio BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/elio-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhce15sbnc48_1_.jpg
Ceiling Fans,Inox Under Light BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/inox-under-light-bldc-ceiling-fan-fhcid5smeg48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcid5smeg48_remote.jpg
Ceiling Fans,Stealth Prime BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/fhcbi5smpw48-c.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcbi5smpw48_5_star_1.jpg
Ceiling Fans,Elio Prime BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/fhce15spmb48-c.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhce15spmb48_star_1.jpg
Ceiling Fans,Neon Underlight BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/neon-underlight-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcnue5mtw48_base_1.jpg
Ceiling Fans,Inveno Luxury (LX) BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/inveno-luxury-lx-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcil5ssab48_2__1_2_1.jpg
Ceiling Fans,Florette UL BLDC Smartsense Ceiling Fan,,https://havells.com/fans/ceiling-fans/florette-ul-bldc-smartsense-ceiling-fan-fhclae4sbw52.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcla5ssbw52_base_1.jpg
Ceiling Fans,Epic Signia BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-signia-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcps5sbiv48_1__1_1_1_1.jpg
Ceiling Fans,Cera Underlight BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/cera-underlight-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/h/a/havells_cera_champange_cf_base_1_1.jpg
Ceiling Fans,Elio Plus R&R BLDC (Dual Control) Ceiling Fan,,https://havells.com/fans/ceiling-fans/elio-plus-rr-bldc-dual-control-ceiling-fan-fhcipe5pwt48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcip5spwt48_1__1.jpg
Ceiling Fans,Fab BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/fab-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcfwe5wht48e_5_1_1.jpg
